idproduto;mes;qtd
37878;jul;18
38441;jul;19
38442;jul;39
38443;jul;35
38444;jul;20
38437;jul;49
38438;jul;99
38439;jul;90
38440;jul;52
38449;jul;21
38450;jul;43
38451;jul;39
38452;jul;23
38461;jul;15
38462;jul;30
38463;jul;27
38464;jul;16
38457;jul;26
38458;jul;52
38459;jul;47
38460;jul;27
38433;jul;37
38434;jul;73
38435;jul;67
38436;jul;39
38453;jul;26
38454;jul;52
38455;jul;47
38456;jul;27
38445;jul;21
38446;jul;43
38447;jul;39
38448;jul;23
