idproduto,referencia,produto,curva_abc,continuidade,linha,familia,ano,mes,ml_qtd
13576,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,53
13576,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,41
13586,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,95
13586,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,111
13586,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,75
13586,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,57
13587,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,96
13587,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,156
13587,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,81
13587,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,60
13588,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,61
13588,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,112
13588,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,78
13588,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,42
13589,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,33
13589,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,76
13589,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,44
13589,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,24
13595,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,89
13595,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,148
13595,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,51
13595,703001,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,45
16030,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,83
16030,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,46
16030,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,30
16030,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,28
16031,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,105
16031,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,58
16031,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,38
16031,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,35
16032,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,96
16032,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,53
16032,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,35
16032,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,32
16033,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,73
16033,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,40
16033,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,26
16033,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,24
16034,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,77
16034,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,43
16034,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,28
16034,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,25
16035,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,82
16035,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,45
16035,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,30
16035,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,27
16036,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,68
16036,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,37
16036,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,25
16036,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,22
16037,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,54
16037,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,30
16037,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,20
16037,703302,SUTIA TRIANGULO SEM BOJO EM RENDA,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,18
16042,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,82
16042,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,87
16042,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,36
16042,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,28
16043,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,60
16043,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,100
16043,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,34
16043,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,30
16044,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,52
16044,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,91
16044,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,25
16044,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,24
16045,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,47
