idproduto;referencia;produto;cor;tamanho;continuidade;lote minimo
38036;603022;SUTIA MEIA TACA C/ BOJO RENDA;VANILLA;46B;PERMANENTE COR NOVA;40
38037;603022;SUTIA MEIA TACA C/ BOJO RENDA;VANILLA;46C;PERMANENTE COR NOVA;40
38038;603022;SUTIA MEIA TACA C/ BOJO RENDA;VANILLA;48C;PERMANENTE COR NOVA;40
38021;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;VANILLA;40B;PERMANENTE COR NOVA;40
38022;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;VANILLA;40C;PERMANENTE COR NOVA;40
38023;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;VANILLA;42B;PERMANENTE COR NOVA;40
38024;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;VANILLA;42C;PERMANENTE COR NOVA;40
38025;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;VANILLA;44B;PERMANENTE COR NOVA;40
38026;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;VANILLA;44C;PERMANENTE COR NOVA;40
38027;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;VANILLA;46B;PERMANENTE COR NOVA;40
38028;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;VANILLA;46C;PERMANENTE COR NOVA;40
38029;603322;SUTIA MEIA TACA S/ BOJO RENDADO IDEAL;VANILLA;48C;PERMANENTE COR NOVA;40
38014;603422;SUTIA TRIANGULO RENDADO IDEAL;VANILLA;40B;PERMANENTE COR NOVA;40
38015;603422;SUTIA TRIANGULO RENDADO IDEAL;VANILLA;42B;PERMANENTE COR NOVA;40
38016;603422;SUTIA TRIANGULO RENDADO IDEAL;VANILLA;42C;PERMANENTE COR NOVA;40
38017;603422;SUTIA TRIANGULO RENDADO IDEAL;VANILLA;44B;PERMANENTE COR NOVA;40
38018;603422;SUTIA TRIANGULO RENDADO IDEAL;VANILLA;44C;PERMANENTE COR NOVA;40
38019;603422;SUTIA TRIANGULO RENDADO IDEAL;VANILLA;46B;PERMANENTE COR NOVA;40
38020;603422;SUTIA TRIANGULO RENDADO IDEAL;VANILLA;46C;PERMANENTE COR NOVA;40
34781;101704;CALCINHA STRING FIO DENTAL CONFORT;BRANCO;G;PERMANENTE;120
34780;101704;CALCINHA STRING FIO DENTAL CONFORT;BRANCO;M;PERMANENTE;120
34779;101704;CALCINHA STRING FIO DENTAL CONFORT;BRANCO;P;PERMANENTE;120
34778;101704;CALCINHA STRING FIO DENTAL CONFORT;CALLAS;G;PERMANENTE;120
34777;101704;CALCINHA STRING FIO DENTAL CONFORT;CALLAS;M;PERMANENTE;120
34776;101704;CALCINHA STRING FIO DENTAL CONFORT;CALLAS;P;PERMANENTE;120
34784;101704;CALCINHA STRING FIO DENTAL CONFORT;CHOCOLATE;G;PERMANENTE;120
34783;101704;CALCINHA STRING FIO DENTAL CONFORT;CHOCOLATE;M;PERMANENTE;120
34782;101704;CALCINHA STRING FIO DENTAL CONFORT;CHOCOLATE;P;PERMANENTE;120
34775;101704;CALCINHA STRING FIO DENTAL CONFORT;PRETO;G;PERMANENTE;120
34774;101704;CALCINHA STRING FIO DENTAL CONFORT;PRETO;M;PERMANENTE;120
34773;101704;CALCINHA STRING FIO DENTAL CONFORT;PRETO;P;PERMANENTE;120
36143;103803;TOP TOMARA QUE CAIA COM BOJO REMOVIVEL;CHOCOLATE;G;PERMANENTE;120
36144;103803;TOP TOMARA QUE CAIA COM BOJO REMOVIVEL;CHOCOLATE;GG;PERMANENTE;120
36142;103803;TOP TOMARA QUE CAIA COM BOJO REMOVIVEL;CHOCOLATE;M;PERMANENTE;120
36141;103803;TOP TOMARA QUE CAIA COM BOJO REMOVIVEL;CHOCOLATE;P;PERMANENTE;120
36131;103803;TOP TOMARA QUE CAIA COM BOJO REMOVIVEL;PRETO;G;PERMANENTE;120
36132;103803;TOP TOMARA QUE CAIA COM BOJO REMOVIVEL;PRETO;GG;PERMANENTE;120
36130;103803;TOP TOMARA QUE CAIA COM BOJO REMOVIVEL;PRETO;M;PERMANENTE;120
36129;103803;TOP TOMARA QUE CAIA COM BOJO REMOVIVEL;PRETO;P;PERMANENTE;120
36589;106601;BODY GOLA ALTA MANGA LONGA CONFORT;PRETO;G;PERMANENTE;120
36590;106601;BODY GOLA ALTA MANGA LONGA CONFORT;PRETO;GG;PERMANENTE;120
36588;106601;BODY GOLA ALTA MANGA LONGA CONFORT;PRETO;M;PERMANENTE;120
36587;106601;BODY GOLA ALTA MANGA LONGA CONFORT;PRETO;P;PERMANENTE;120
38609;123101;SUTIA PUSH UP 3D EM MICROFIBRA;CHOCOLATE;40;PERMANENTE;120
38610;123101;SUTIA PUSH UP 3D EM MICROFIBRA;CHOCOLATE;42;PERMANENTE;120
38611;123101;SUTIA PUSH UP 3D EM MICROFIBRA;CHOCOLATE;44;PERMANENTE;120
36706;136910;ROBE EM CETIM;BRANCO;G;PERMANENTE;40
36705;136910;ROBE EM CETIM;BRANCO;M;PERMANENTE;40
36704;136910;ROBE EM CETIM;BRANCO;P;PERMANENTE;40
36718;136910;ROBE EM CETIM;PRETO;G;PERMANENTE;40
36717;136910;ROBE EM CETIM;PRETO;M;PERMANENTE;40
36716;136910;ROBE EM CETIM;PRETO;P;PERMANENTE;40
34703;301310;CALCINHA ALTA EM MICROFIBRA CONTRO;NUDE;EG;PERMANENTE;60
34701;301310;CALCINHA ALTA EM MICROFIBRA CONTRO;NUDE;G;PERMANENTE;60
34702;301310;CALCINHA ALTA EM MICROFIBRA CONTRO;NUDE;GG;PERMANENTE;60
34700;301310;CALCINHA ALTA EM MICROFIBRA CONTRO;NUDE;M;PERMANENTE;60
34699;301310;CALCINHA ALTA EM MICROFIBRA CONTRO;NUDE;P;PERMANENTE;60
37820;301311;CALCINHA LARGA  S/COSTURA CONTROL;NUDE;EG;PERMANENTE;60
37552;301311;CALCINHA LARGA  S/COSTURA CONTROL;NUDE;G;PERMANENTE;60
37553;301311;CALCINHA LARGA  S/COSTURA CONTROL;NUDE;GG;PERMANENTE;60
37551;301311;CALCINHA LARGA  S/COSTURA CONTROL;NUDE;M;PERMANENTE;60
37821;301311;CALCINHA LARGA  S/COSTURA CONTROL;PRETO;EG;PERMANENTE;60
37556;301311;CALCINHA LARGA  S/COSTURA CONTROL;PRETO;G;PERMANENTE;60
37557;301311;CALCINHA LARGA  S/COSTURA CONTROL;PRETO;GG;PERMANENTE;60
37555;301311;CALCINHA LARGA  S/COSTURA CONTROL;PRETO;M;PERMANENTE;60
34692;301707;CALCINHA ALTA EM MICROFIBRA CONTRO;NUDE;G;PERMANENTE;60
