idproduto,mes,ano,quantidade,origem
21361,1,2026,16,"API"
21365,1,2026,104,"API"
21366,1,2026,174,"API"
21367,1,2026,152,"API"
21368,1,2026,106,"API"
21369,1,2026,181,"API"
21370,1,2026,142,"API"
22358,1,2026,65,"API"
22359,1,2026,149,"API"
22360,1,2026,167,"API"
22361,1,2026,142,"API"
22362,1,2026,78,"API"
22760,1,2026,7,"API"
22761,1,2026,8,"API"
22763,1,2026,17,"API"
22764,1,2026,17,"API"
22765,1,2026,13,"API"
22766,1,2026,7,"API"
22767,1,2026,15,"API"
22768,1,2026,20,"API"
22770,1,2026,13,"API"
22771,1,2026,17,"API"
22772,1,2026,18,"API"
22773,1,2026,10,"API"
22774,1,2026,5,"API"
22775,1,2026,10,"API"
22776,1,2026,6,"API"
22778,1,2026,10,"API"
22779,1,2026,12,"API"
22780,1,2026,6,"API"
22781,1,2026,33,"API"
22782,1,2026,34,"API"
22783,1,2026,16,"API"
22784,1,2026,8,"API"
22785,1,2026,44,"API"
22786,1,2026,37,"API"
22788,1,2026,16,"API"
22789,1,2026,40,"API"
22790,1,2026,32,"API"
22791,1,2026,10,"API"
22792,1,2026,13,"API"
22793,1,2026,22,"API"
22794,1,2026,10,"API"
23091,1,2026,123,"API"
23092,1,2026,172,"API"
23387,1,2026,23,"API"
23388,1,2026,71,"API"
23389,1,2026,74,"API"
23390,1,2026,51,"API"
23391,1,2026,11,"API"
23392,1,2026,24,"API"
23393,1,2026,26,"API"
23394,1,2026,23,"API"
24079,1,2026,11,"API"
24080,1,2026,8,"API"
24081,1,2026,8,"API"
24082,1,2026,16,"API"
24083,1,2026,16,"API"
24084,1,2026,8,"API"
24085,1,2026,9,"API"
24086,1,2026,19,"API"
24087,1,2026,17,"API"
24088,1,2026,8,"API"
24089,1,2026,7,"API"
24090,1,2026,17,"API"
24091,1,2026,14,"API"
24092,1,2026,12,"API"
24093,1,2026,10,"API"
24094,1,2026,15,"API"
24095,1,2026,16,"API"
24096,1,2026,8,"API"
24097,1,2026,26,"API"
24098,1,2026,29,"API"
24099,1,2026,13,"API"
24100,1,2026,7,"API"
24101,1,2026,34,"API"
24102,1,2026,31,"API"
24103,1,2026,9,"API"
24104,1,2026,11,"API"
24105,1,2026,26,"API"
24106,1,2026,23,"API"
24107,1,2026,19,"API"
24108,1,2026,14,"API"
24234,1,2026,65,"API"
24235,1,2026,68,"API"
24236,1,2026,58,"API"
24237,1,2026,37,"API"
25620,1,2026,211,"API"
25621,1,2026,441,"API"
25622,1,2026,305,"API"
25623,1,2026,118,"API"
25624,1,2026,200,"API"
25625,1,2026,409,"API"
25626,1,2026,287,"API"
25627,1,2026,122,"API"
25628,1,2026,150,"API"
25629,1,2026,297,"API"
25630,1,2026,213,"API"
25631,1,2026,64,"API"
25640,1,2026,149,"API"
25641,1,2026,395,"API"
25642,1,2026,337,"API"
25643,1,2026,181,"API"
25644,1,2026,173,"API"
25645,1,2026,425,"API"
25646,1,2026,343,"API"
25647,1,2026,178,"API"
25648,1,2026,133,"API"
25649,1,2026,321,"API"
25650,1,2026,258,"API"
25651,1,2026,132,"API"
25660,1,2026,261,"API"
25661,1,2026,543,"API"
25662,1,2026,343,"API"
25663,1,2026,130,"API"
25664,1,2026,146,"API"
25665,1,2026,311,"API"
25666,1,2026,193,"API"
25667,1,2026,61,"API"
25668,1,2026,210,"API"
25669,1,2026,430,"API"
25670,1,2026,266,"API"
25671,1,2026,111,"API"
25721,1,2026,21,"API"
25722,1,2026,23,"API"
25723,1,2026,22,"API"
25724,1,2026,17,"API"
25725,1,2026,19,"API"
25726,1,2026,32,"API"
25727,1,2026,27,"API"
25728,1,2026,17,"API"
25729,1,2026,17,"API"
25730,1,2026,26,"API"
25731,1,2026,24,"API"
25732,1,2026,16,"API"
25737,1,2026,32,"API"
25738,1,2026,51,"API"
25739,1,2026,39,"API"
25740,1,2026,23,"API"
25745,1,2026,22,"API"
25746,1,2026,38,"API"
25747,1,2026,31,"API"
25748,1,2026,21,"API"
25753,1,2026,43,"API"
25754,1,2026,79,"API"
