"idproduto";"referencia";"produto";"cor";"tamanho";"continuidade"
"38477";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"BRANCO";"42";"PERMANENTE COR NOVA"
"38478";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"BRANCO";"44";"PERMANENTE COR NOVA"
"38479";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"BRANCO";"46";"PERMANENTE COR NOVA"
"38480";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"BRANCO";"48";"PERMANENTE COR NOVA"
"38473";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"LOVE";"42";"PERMANENTE COR NOVA"
"38474";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"LOVE";"44";"PERMANENTE COR NOVA"
"38475";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"LOVE";"46";"PERMANENTE COR NOVA"
"38476";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"LOVE";"48";"PERMANENTE COR NOVA"
"38469";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"NUDE";"42";"PERMANENTE COR NOVA"
"38470";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"NUDE";"44";"PERMANENTE COR NOVA"
"38471";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"NUDE";"46";"PERMANENTE COR NOVA"
"38472";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"NUDE";"48";"PERMANENTE COR NOVA"
"38465";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"PRETO";"42";"PERMANENTE COR NOVA"
"38466";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"PRETO";"44";"PERMANENTE COR NOVA"
"38467";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"PRETO";"46";"PERMANENTE COR NOVA"
"38468";"503040";"SUTIA MEIA TACA C/ BOJO EM MICRO C/RENDA";"PRETO";"48";"PERMANENTE COR NOVA"
"37143";"503503";"TOP ALONGADO EM RENDA KISS ME";"BRANCO";"G";"PERMANENTE COR NOVA"
"37144";"503503";"TOP ALONGADO EM RENDA KISS ME";"BRANCO";"GG";"PERMANENTE COR NOVA"
"37142";"503503";"TOP ALONGADO EM RENDA KISS ME";"BRANCO";"M";"PERMANENTE COR NOVA"
"37141";"503503";"TOP ALONGADO EM RENDA KISS ME";"BRANCO";"P";"PERMANENTE COR NOVA"
"37151";"503503";"TOP ALONGADO EM RENDA KISS ME";"LOVE";"G";"PERMANENTE COR NOVA"
"37152";"503503";"TOP ALONGADO EM RENDA KISS ME";"LOVE";"GG";"PERMANENTE COR NOVA"
"37150";"503503";"TOP ALONGADO EM RENDA KISS ME";"LOVE";"M";"PERMANENTE COR NOVA"
"37149";"503503";"TOP ALONGADO EM RENDA KISS ME";"LOVE";"P";"PERMANENTE COR NOVA"
"37159";"503503";"TOP ALONGADO EM RENDA KISS ME";"NUDE";"G";"PERMANENTE COR NOVA"
"37160";"503503";"TOP ALONGADO EM RENDA KISS ME";"NUDE";"GG";"PERMANENTE COR NOVA"
"37158";"503503";"TOP ALONGADO EM RENDA KISS ME";"NUDE";"M";"PERMANENTE COR NOVA"
"37157";"503503";"TOP ALONGADO EM RENDA KISS ME";"NUDE";"P";"PERMANENTE COR NOVA"
"37147";"503503";"TOP ALONGADO EM RENDA KISS ME";"PRETO";"G";"PERMANENTE COR NOVA"
"37148";"503503";"TOP ALONGADO EM RENDA KISS ME";"PRETO";"GG";"PERMANENTE COR NOVA"
"37146";"503503";"TOP ALONGADO EM RENDA KISS ME";"PRETO";"M";"PERMANENTE COR NOVA"
"37145";"503503";"TOP ALONGADO EM RENDA KISS ME";"PRETO";"P";"PERMANENTE COR NOVA"
"36039";"601172";"CALCINHA BIQUINI IDEAL RENDA";"VANILLA";"G";"PERMANENTE COR NOVA"
"36040";"601172";"CALCINHA BIQUINI IDEAL RENDA";"VANILLA";"GG";"PERMANENTE COR NOVA"
"36038";"601172";"CALCINHA BIQUINI IDEAL RENDA";"VANILLA";"M";"PERMANENTE COR NOVA"
"36037";"601172";"CALCINHA BIQUINI IDEAL RENDA";"VANILLA";"P";"PERMANENTE COR NOVA"
"36035";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"VANILLA";"G";"PERMANENTE COR NOVA"
"36036";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"VANILLA";"GG";"PERMANENTE COR NOVA"
"36034";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"VANILLA";"M";"PERMANENTE COR NOVA"
"36033";"601772";"CALCINHA FIO DENTAL IDEAL RENDA";"VANILLA";"P";"PERMANENTE COR NOVA"
"38030";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"VANILLA";"40B";"PERMANENTE COR NOVA"
"38031";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"VANILLA";"40C";"PERMANENTE COR NOVA"
"38032";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"VANILLA";"42B";"PERMANENTE COR NOVA"
"38033";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"VANILLA";"42C";"PERMANENTE COR NOVA"
"38034";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"VANILLA";"44B";"PERMANENTE COR NOVA"
"38035";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"VANILLA";"44C";"PERMANENTE COR NOVA"
"38036";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"VANILLA";"46B";"PERMANENTE COR NOVA"
"38037";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"VANILLA";"46C";"PERMANENTE COR NOVA"
"38038";"603022";"SUTIA MEIA TACA C/ BOJO RENDA";"VANILLA";"48C";"PERMANENTE COR NOVA"
"38021";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"VANILLA";"40B";"PERMANENTE COR NOVA"
"38022";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"VANILLA";"40C";"PERMANENTE COR NOVA"
"38023";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"VANILLA";"42B";"PERMANENTE COR NOVA"
"38024";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"VANILLA";"42C";"PERMANENTE COR NOVA"
"38025";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"VANILLA";"44B";"PERMANENTE COR NOVA"
"38026";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"VANILLA";"44C";"PERMANENTE COR NOVA"
"38027";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"VANILLA";"46B";"PERMANENTE COR NOVA"
"38028";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"VANILLA";"46C";"PERMANENTE COR NOVA"
"38029";"603322";"SUTIA MEIA TACA S/ BOJO RENDADO IDEAL";"VANILLA";"48C";"PERMANENTE COR NOVA"
"38014";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"VANILLA";"40B";"PERMANENTE COR NOVA"
"38015";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"VANILLA";"42B";"PERMANENTE COR NOVA"
"38016";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"VANILLA";"42C";"PERMANENTE COR NOVA"
"38017";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"VANILLA";"44B";"PERMANENTE COR NOVA"
"38018";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"VANILLA";"44C";"PERMANENTE COR NOVA"
"38019";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"VANILLA";"46B";"PERMANENTE COR NOVA"
"38020";"603422";"SUTIA TRIANGULO RENDADO IDEAL";"VANILLA";"46C";"PERMANENTE COR NOVA"
"34781";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"BRANCO";"G";"PERMANENTE"
"34780";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"BRANCO";"M";"PERMANENTE"
"34779";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"BRANCO";"P";"PERMANENTE"
"34778";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"CALLAS";"G";"PERMANENTE"
"34777";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"CALLAS";"M";"PERMANENTE"
