idproduto;mes;ano;quantidade;origem;updated_at
10483;3;2026;108;API;2026-08-06T13:11:37.798Z
10483;4;2026;76;API;2026-08-06T13:11:37.798Z
10483;5;2026;89;API;2026-08-06T13:11:37.798Z
10483;6;2026;67;API;2026-08-06T13:11:37.798Z
10483;7;2026;55;API;2026-08-06T13:11:37.798Z
10483;8;2026;100;API;2026-08-06T13:11:37.798Z
10483;9;2026;68;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10483;10;2026;62;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10483;11;2026;43;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10483;12;2026;26;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10494;1;2026;136;API;2026-08-06T13:11:37.798Z
10494;2;2026;116;API;2026-08-06T13:11:37.798Z
10494;3;2026;159;API;2026-08-06T13:11:37.798Z
10494;4;2026;112;API;2026-08-06T13:11:37.798Z
10494;5;2026;131;API;2026-08-06T13:11:37.798Z
10494;6;2026;99;API;2026-08-06T13:11:37.798Z
10494;7;2026;80;API;2026-08-06T13:11:37.798Z
10494;8;2026;146;API;2026-08-06T13:11:37.798Z
10494;9;2026;121;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10494;10;2026;109;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10494;11;2026;77;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10494;12;2026;46;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10495;1;2026;233;API;2026-08-06T13:11:37.798Z
10495;2;2026;198;API;2026-08-06T13:11:37.798Z
10495;3;2026;272;API;2026-08-06T13:11:37.798Z
10495;4;2026;192;API;2026-08-06T13:11:37.798Z
10495;5;2026;224;API;2026-08-06T13:11:37.798Z
10495;6;2026;169;API;2026-08-06T13:11:37.798Z
10495;7;2026;132;API;2026-08-06T13:11:37.798Z
10495;8;2026;250;API;2026-08-06T13:11:37.798Z
10495;9;2026;186;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10495;10;2026;169;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10495;11;2026;119;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10495;12;2026;71;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10496;1;2026;210;API;2026-08-06T13:11:37.798Z
10496;2;2026;178;API;2026-08-06T13:11:37.798Z
10496;3;2026;246;API;2026-08-06T13:11:37.798Z
10496;4;2026;173;API;2026-08-06T13:11:37.798Z
10496;5;2026;202;API;2026-08-06T13:11:37.798Z
10496;6;2026;153;API;2026-08-06T13:11:37.798Z
10496;7;2026;94;API;2026-08-06T13:11:37.798Z
10496;8;2026;226;API;2026-08-06T13:11:37.798Z
10496;9;2026;138;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10496;10;2026;125;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10496;11;2026;88;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10496;12;2026;53;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10497;1;2026;86;API;2026-08-06T13:11:37.798Z
10497;2;2026;73;API;2026-08-06T13:11:37.798Z
10497;3;2026;100;API;2026-08-06T13:11:37.798Z
10497;4;2026;71;API;2026-08-06T13:11:37.798Z
10497;5;2026;0;API;2026-08-06T13:11:37.798Z
10497;6;2026;62;API;2026-08-06T13:11:37.798Z
10497;7;2026;59;API;2026-08-06T13:11:37.798Z
10497;8;2026;32;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10497;9;2026;44;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10497;10;2026;55;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10497;11;2026;34;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10497;12;2026;30;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10498;1;2026;136;API;2026-08-06T13:11:37.798Z
10498;2;2026;116;API;2026-08-06T13:11:37.798Z
10498;3;2026;159;API;2026-08-06T13:11:37.798Z
10498;4;2026;112;API;2026-08-06T13:11:37.798Z
10498;5;2026;0;API;2026-08-06T13:11:37.798Z
10498;6;2026;99;API;2026-08-06T13:11:37.798Z
10498;7;2026;95;API;2026-08-06T13:11:37.798Z
10498;8;2026;56;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10498;9;2026;77;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10498;10;2026;87;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10498;11;2026;58;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10498;12;2026;45;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10499;1;2026;116;API;2026-08-06T13:11:37.798Z
10499;2;2026;99;API;2026-08-06T13:11:37.798Z
10499;3;2026;136;API;2026-08-06T13:11:37.798Z
10499;4;2026;96;API;2026-08-06T13:11:37.798Z
10499;5;2026;0;API;2026-08-06T13:11:37.798Z
10499;6;2026;85;API;2026-08-06T13:11:37.798Z
10499;7;2026;73;API;2026-08-06T13:11:37.798Z
10499;8;2026;46;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10499;9;2026;64;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10499;10;2026;75;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10499;11;2026;48;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10499;12;2026;35;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10783;1;2026;24;API;2026-08-06T13:11:37.798Z
10783;2;2026;20;API;2026-08-06T13:11:37.798Z
10783;3;2026;28;API;2026-08-06T13:11:37.798Z
10783;4;2026;20;API;2026-08-06T13:11:37.798Z
10783;5;2026;0;API;2026-08-06T13:11:37.798Z
10783;6;2026;17;API;2026-08-06T13:11:37.798Z
10783;7;2026;17;API;2026-08-06T13:11:37.798Z
10783;8;2026;10;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10783;9;2026;14;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10783;10;2026;16;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10783;11;2026;11;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10783;12;2026;9;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10784;1;2026;48;API;2026-08-06T13:11:37.798Z
10784;2;2026;40;API;2026-08-06T13:11:37.798Z
10784;3;2026;56;API;2026-08-06T13:11:37.798Z
10784;4;2026;39;API;2026-08-06T13:11:37.798Z
10784;5;2026;0;API;2026-08-06T13:11:37.798Z
10784;6;2026;35;API;2026-08-06T13:11:37.798Z
10784;7;2026;34;API;2026-08-06T13:11:37.798Z
10784;8;2026;18;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10784;9;2026;28;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10784;10;2026;30;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10784;11;2026;21;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10784;12;2026;16;PROJECAO_REP;2026-08-13T16:16:27.865Z
10785;1;2026;43;API;2026-08-06T13:11:37.798Z
10785;2;2026;37;API;2026-08-06T13:11:37.798Z
10785;3;2026;51;API;2026-08-06T13:11:37.798Z
10785;4;2026;36;API;2026-08-06T13:11:37.798Z
10785;5;2026;0;API;2026-08-06T13:11:37.798Z
10785;6;2026;31;API;2026-08-06T13:11:37.798Z
10785;7;2026;35;API;2026-08-06T13:11:37.798Z
10785;8;2026;18;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10785;9;2026;24;AJUSTE_BRANCO_40_PCT;2026-08-19T20:10:54.845Z
10785;10;2026;28;AJUSTE_60_BRANCO_PERMANENTE;2026-08-19T16:03:27.792Z
10785;11;2026;18;AJUSTE_60_BRANCO_PERMANENTE_NOV_2026;2026-08-21T15:58:02.916Z
10785;12;2026;17;PROJECAO_REP;2026-08-13T16:16:27.865Z
10786;1;2026;35;API;2026-08-06T13:11:37.798Z
10786;2;2026;30;API;2026-08-06T13:11:37.798Z
10786;3;2026;41;API;2026-08-06T13:11:37.798Z
10786;4;2026;29;API;2026-08-06T13:11:38.002Z
